t_index	term	df
1576	bushcheney	2
1577	bushgor	1
1578	bushnel	1
1579	bushquail	1
1580	bushybeard	1
1581	busi	90
1582	busiest	1
1583	busili	1
1584	businessman	54
1585	businessmen	5
1586	buss	1
1587	bust	7
1588	bustamant	1
1589	bustl	4
1590	butcher	4
1591	butter	1
1592	button	3
1593	buttress	5
1594	buy	44
1595	buyer	2
1596	buzz	6
1597	bye	1
1598	byfeet	1
1599	byfoot	15
1600	bypass	5
1601	byrd	6
1602	cab	2
1603	cabana	1
1604	cabin	2
1605	cabinet	31
1606	cabl	5
1607	cacak	8
1608	cach	2
1609	cadav	1
1610	cadet	1
1611	caeti	1
1612	cafe	4
1613	cafetalon	1
1614	cafeteria	1
1615	cage	5
1616	cagl	1
1617	cahokia	3
1618	cairo	5
1619	caisson	1
1620	cake	5
1621	cal	2
1622	calam	5
1623	calamit	1
1624	calatrava	2
1625	calcul	9
1626	calculu	1
1627	calcutta	3
1628	calderon	1
1629	calena	1
1630	caley	1
1631	calhoun	1
1632	calib	4
1633	calif	6
1634	california	32
1635	calina	1
1636	calix	1
1637	call	363
1638	callahan	1
1639	callen	3
1640	caller	5
1641	callin	1
1642	calloff	1
1643	callou	1
1644	callous	1
1645	calm	38
1646	calmli	1
1647	calvario	6
1648	calvert	1
1649	cambodia	3
1650	camden	1
1651	camel	3
1652	camera	25
1653	cameraman	3
